xc,yc,width_mid_x,width_mid_y,height_mid_x,height_mid_y,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,xc_velocity,yc_velocity,width_velocity,height_velocity
501,384,501.0,479,388,384.5,0.0012856550128454,-0.0007367389296185,-0.0006095992558924,-14.891901295934689,0.0,0.0,-11.413256886035466
500,384,500.5,479,388,384.5,0.0061784687196858,-0.0032381631628688,0.0019149000105789,-14.98147632212484,0.0,0.0,-11.46081583185482
499,384,499.0,479,387,384.5,0.0117490580335626,-0.0063385702053758,-0.0015258895402486,-45.201625157612305,0.0,15.067208385870769,9.73138705700019
496,384,496.0,479,384,384.0,0.0153223237448429,-0.0095540123451849,-0.0018221267977575,-60.07009101520262,-15.017522753800655,15.017522753800655,-13.08243846781995
492,383,492.0,479,381,383.5,0.0206694418691653,-0.012244081771318,0.0066979877573488,-60.54177642737029,-15.135444106842572,30.270888213685144,-2.9985758584461046
488,382,488.0,479,378,382.5,0.0260730147898265,-0.0157281547879198,-0.0002587848191087,-59.66993281572876,-14.91748320393219,29.83496640786438,19.732665675761492
484,381,484.0,479,374,381.5,0.0297946840624923,-0.0173247008045606,0.0044779964071734,-90.39026194897511,-15.065043658162518,30.130087316325035,-13.523680326317463
478,380,478.5,479,370,380.5,0.0337764601704197,-0.0219135633516952,0.0020756219484497,-91.01563833634724,-15.169273056057872,45.50781916817362,19.57300507682056
472,379,472.0,479,364,379.0,0.0392513463827977,-0.0227247010029242,0.0050564605383707,-104.15492622982813,-14.879275175689735,29.75855035137947,-1.415502591228676
465,378,465.0,479,358,378.0,0.0456000673460129,-0.0262769127727783,0.0046534710996785,-120.2000035822394,-30.05000089555985,60.1000017911197,19.86760543216358
457,376,457.0,479,351,376.0,0.0481312264863836,-0.0295012628147659,0.0034955220390321,-135.5493649613807,-30.12208110252904,45.18312165379356,-0.458578653360947
448,374,448.5,479,344,374.5,0.0504843473139748,-0.0326234211689722,0.0018096763533265,-133.93058083469043,-29.76235129659787,74.40587824149468,32.18005750254347
439,372,439.5,479,336,372.0,0.0548022292076241,-0.0368539383745335,-0.0027576779542249,-150.85850756575755,-30.17170151315151,60.34340302630302,12.523129478964947
429,370,429.0,479,327,370.0,0.0591918640916822,-0.0381420827960333,0.0039898159402574,-180.626116540045,-60.20870551334833,30.104352756674164,-28.80386211899476
417,366,417.5,476,318,366.0,0.0643992783383742,-0.041424595241076,0.0019751848759299,-150.02536010272814,-75.01268005136407,0.0,-30.06621046703375
407,361,407.0,471,309,361.0,0.0669255135282581,-0.0453980066595782,0.0052187311071578,-180.19521881921648,-80.08676391965177,0.0,-26.48418999593634
389,353,389.0,463,293,353.0,0.0797007238677525,-0.0527455582367339,0.0017272710694628,-208.67109924982523,-89.43047110706796,0.0,-29.27052408455175
361,338,361.5,447,268,338.5,0.0802012081253992,-0.0584049876246536,0.0004156117651711,-224.41113734778193,-104.72519742896489,0.0,-19.47257559423649
346,331,346.5,440,254,331.5,0.0866240396274624,-0.0625216632343291,0.0005915414772429,-224.92942640181917,-119.9623607476369,-29.990590186909223,-32.543272729658305
331,323,331.0,431,239,323.5,0.0897575866573539,-0.06627600675427,0.0037987395588173,-237.82963582495782,-118.91481791247891,14.864352239059864,20.958521310363444
315,315,315.5,423,223,315.0,0.0887682089620863,-0.0651613748640599,-0.0001484316159303,-213.8213332459408,-106.9106666229704,-15.272952374710057,-41.33327443305835
301,308,301.0,416,210,308.5,0.0811380662600486,-0.0639357998064369,-0.0056011283711467,-209.99419228403454,-119.9966813051626,-14.999585163145325,-11.437313151494788
287,300,287.0,407,196,300.0,0.077432787975751,-0.0599069377538332,-0.0055663858928033,-210.00545754310423,-105.00272877155211,0.0,-9.702550118937289
273,293,273.5,400,183,293.0,0.0704105713376463,-0.0560206233107268,-0.0008999430953487,-165.11885018556384,-105.07563193626791,-15.010804562323987,-1.7141545877319861
262,286,262.0,393,171,286.5,0.0664098017487902,-0.0549339989967993,-0.0030332527650936,-165.23357149252416,-90.12740263228591,0.0,-9.742485198536592
251,280,251.5,387,161,280.5,0.0628841651693604,-0.0532053029808091,-0.0039539649914885,-164.74857434644915,-89.86285873442681,-14.977143122404469,-30.788996075100158
240,274,240.5,380,151,274.0,0.0542589837444417,-0.0470752475506091,-0.0029402202215966,-119.09546254756096,-89.32159691067072,-14.88693281844512,-1.7172852451839287
232,268,232.0,374,142,268.5,0.0504506058405816,-0.0436851828457054,-0.0029215835915596,-135.9212746421821,-60.40945539652538,15.102363849131345,1.7421363367327423
