xc,yc,width_mid_x,width_mid_y,height_mid_x,height_mid_y,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,xc_velocity,yc_velocity,width_velocity,height_velocity
307,212,310,296,241,215,6.495517573407342e-06,-1.547923010948568e-05,-3.4852339274892805e-05,0.0,0.0,29.424025705133708,66.13799002013494
307,212,310,297,241,215,6.410915459130114e-06,-1.5277626358812154e-05,-3.440524609419546e-05,0.0,0.0,29.89741453602575,22.850882836423384
307,212,310,297,241,214,2.777073303968368e-06,-6.618155937300427e-06,-1.4902637902032396e-05,0.0,30.530229578838625,0.0,-43.018179640156426
307,213,310,297,241,215,3.6797150235003454e-06,-8.768384286909321e-06,-1.9742069315758264e-05,0.0,-31.084345564094807,32.25253495056928,0.0
307,212,310,297,241,215,2.751562047593531e-06,-6.557356980118959e-06,-1.4763445617761186e-05,0.0,0.0,-30.798794769254297,22.740841477771536
307,212,310,297,241,214,2.197330347316442e-06,-5.2365453826863375e-06,-1.1790262466942227e-05,0.0,0.0,0.0,-23.098179810317088
307,212,310,296,241,215,5.328139053391992e-06,1.0214684785667816e-06,-9.273527830882812e-32,0.0,0.0,28.850655046503785,3.481480574622948
307,212,310,297,241,215,-1.5987403464074234e-05,-3.0654256660360248e-06,0.0,0.0,30.79247056059675,30.772967252263697,-19.867610274972638
307,212,309,296,239,213,1.1635946517725166e-05,0.0013622871576229,0.0020131077713394,0.0,0.0,0.7927866329822446,-61.21096781785313
307,212,310,297,240,214,0.0015765904711888,0.0079225866269566,-0.0006551991691442,0.0,-31.28886766976753,0.0,0.0
307,211,310,296,240,213,0.0033734466314544,0.0278678912525149,0.0018849762280167,0.0,29.53568813024626,-29.52269318584504,-41.61683535662761
307,212,310,296,241,214,0.0001657732690988,0.0470834211059693,0.0003084608865911,30.26914056016225,-30.26914056016225,0.9904190121309422,-23.131151206643924
308,211,311,295,242,214,0.0010415312946843,0.0456295630907204,-0.0082480704458644,0.0,30.75205842027701,-61.46445808479101,-66.79062026542249
308,212,311,295,243,215,-0.0004971043795163,0.0467821623264592,-0.0052869559565221,0.0,0.0,-60.40021834210328,-65.59434237896711
310,210,314,291,246,213,0.0023388212104889,0.0554070810515052,-0.0001933762888822,30.98628841607565,0.0,-1.4330086906610089,0.0
311,210,315,291,246,213,0.0022068220533125,0.0538818168735906,0.0061701900417974,30.50047994415202,0.0,-91.41453124018668,-65.93732039320996
312,210,315,290,247,213,0.0006179232175192,0.0513696467671754,-0.0021228853677172,0.0,30.42878699941969,-1.2428998493708945,-40.11678178171943
312,209,316,289,248,212,-0.0009863014180868,0.0530225288925678,0.0027805944893466,0.0,0.0,-31.36321572952271,-19.90830094143269
312,209,316,288,249,212,-0.0020921070831808,0.0555297034000408,0.0003732844718734,0.0,0.0,0.0,-23.115210466212584
313,208,317,286,250,210,-0.0004274788294428,0.0483824929761132,0.0068017906317075,-31.10532326723137,62.21064653446273,-2.375694628448484,26.66372008011584
312,208,312,287,247,209,-0.0030019184136735,-0.0044693122567848,-0.0044770066311155,0.0,29.827222301237395,29.82662867151341,23.003412673042213
311,209,312,289,245,210,0.0013477033460949,-0.049209277149272,-0.0050431139138895,0.0,0.0,31.49696513987136,3.800022334735752
313,210,316,288,249,212,-0.0027550284425068,-0.0537898535984047,-0.0030241897135887,-31.292369214240985,0.0,62.53965938194453,46.92815933591319
312,211,315,291,247,213,-0.0001691043408134,-0.0534919189298559,-0.0064900721314381,-30.438503294725543,0.0,0.0,20.043861650954995
311,211,314,291,246,213,-0.0043559528452352,-0.0516569270185322,0.0046828882423517,0.0,-30.625864347622997,62.43006067977227,23.043721619004447
311,210,315,292,246,213,-0.0043180172610495,-0.0477504907960315,-0.0016555250510786,-29.99080463057641,29.99080463057641,-29.963017246195104,-22.56588565770852
307,212,310,296,241,214,-0.0024949013955992,-0.0464500086094898,0.0032825886783187,-29.66142879368631,0.0,58.326376058182944,3.586265446427285
306,212,309,297,240,215,-0.0019550143422159,-0.0487175831564403,0.0011018881697716,0.0,0.0,30.448625009333583,42.91045703783602
306,212,309,297,239,214,-0.0012230507617821,-0.0510862753852382,0.0013464351641938,0.0,0.0,30.14468342425292,65.62334292442904
307,211,309,299,238,213,0.0032414546871437,-0.0544502640930509,0.000488981688874,0.0,0.0,29.925759130114493,65.23137488756089
307,211,309,300,237,212,-0.0002074882850915,-0.0458800493244465,0.0056984459068157,0.0,0.0,-0.5951202413809523,0.0
307,211,308,300,236,212,-0.0005535012645475,-0.0484057509477076,0.0045510945141519,-30.34754610770649,0.0,30.93981623646928,19.322577174386
306,211,308,300,236,213,-0.0010167691035461,-0.0478197420663062,-0.0002198078217921,0.0,30.48252505505216,29.878963500301897,4.156685807245296
306,212,307,301,235,213,-0.0004671837722838,-0.0493381017018727,-0.0026440862717571,0.0,0.0,30.777847837705664,61.66602649142281
306,212,308,302,235,214,5.258123483128907e-05,-0.0509992589363303,-0.0059859918699787,-30.351718648237952,30.351718648237952,-1.0115678651666362,4.2317769565383205
301,215,304,306,228,217,-0.0010205902967658,-0.0473561945790431,0.0002180384315312,0.0,30.560037304733083,29.79307613694664,23.331569887920956
301,216,303,307,228,218,-0.0006083686589423,-0.0478824336526671,-0.0045749639386215,-29.956746564580243,0.0,-30.942363988627665,38.780452336655785
300,216,301,307,225,217,-0.000376061630622,-0.0517040047406237,-0.0035106572534397,0.0,30.711752214981413,61.168069674705805,70.28248080376487
300,217,301,308,224,217,-0.0015535485889326,-0.0471631565795911,0.0003837150721916,0.0,0.0,30.36137450493761,23.26700193478621
300,217,301,309,224,218,0.0037129061317893,-0.0535628572652771,-0.001421297164287,0.0,0.0,90.95576197128834,50.791236154846494
300,217,300,310,224,217,0.0001974048789362,-0.047767985949793,-0.0032084504370434,-30.336571217786933,30.336571217786933,30.25545797089084,66.1925275410842
299,218,299,312,223,218,0.0024671378598938,-0.0536662760473282,-0.0032614133089225,0.0,-30.075534744978818,60.23021508592738,46.751953719183
299,217,300,313,223,218,0.0010929018550844,-0.0482278222433381,-0.0023947129443683,0.0,30.337668349559525,30.257832933091688,23.65333513633736
299,218,299,314,223,218,0.00218966048558,-0.0560454817217815,-0.0019954797082529,0.0,0.0,61.85452965235046,43.41859261643144
299,218,299,314,222,218,-0.0016671641515662,-0.0481851829800664,0.0025320349725163,-29.995308656101688,0.0,29.994908107147943,65.57825102307523
298,218,299,315,221,218,0.001067501331124,-0.0544088442804382,0.0005380338947758,0.0,30.07769148577624,30.308653208356187,18.81148286107338
295,219,296,320,215,220,0.0031566321115073,-0.0520891569570726,-0.0007264985815314,0.0,0.0,0.9103853263728132,-4.278214359942091
295,219,297,320,215,221,0.0009146965914395,-0.0482307843950594,0.0035120662869519,-30.186576079915937,0.0,-0.5229546390525857,0.0
294,219,296,320,214,221,0.0016400288985021,-0.0539174484324989,-0.0009992935338191,0.0,30.468132091644755,31.665256049263576,19.412189478460697
296,217,299,323,217,218,-0.0012110883996227,-0.0522712930498924,-0.0031880531250758,-30.220288059024057,0.0,60.42408527836466,23.89410985393184
295,217,298,325,216,219,-0.0026714613786222,-0.0494484221925414,-0.00121863493842,-30.43739885777318,60.87479771554636,30.42920949642544,42.69663009057307
294,219,297,327,215,221,-0.0012618946121007,-0.0483894261702346,-0.0004561471760649,-30.599946012592262,0.0,61.95542171697401,42.92830770428783
293,219,296,328,214,222,0.0022084660987956,-0.0537041653903653,-0.0020735633338379,-30.165083246431063,30.165083246431063,0.8990157235302753,37.08536352322689
292,220,296,329,212,223,9.738912947414916e-05,-0.0475367813335908,0.0046789851576929,-30.079848535919,30.079848535919,-30.96488509656736,37.25588203823181
291,221,294,330,210,223,0.0011914587151959,-0.0517432209341074,-0.0014199472433912,-30.67020584256524,92.01061752769571,-121.6975680772753,17.465598965977833
288,224,290,331,203,226,-0.0014659471247112,-0.0485640482955833,0.0034484284262446,-30.507135271954983,30.507135271954983,29.857411058736936,66.4245385273067
288,226,291,340,200,229,0.0011236608949247,-0.0493454641402385,0.0017596303161536,0.0,0.0,59.41324634645008,47.36873155191034
288,226,290,341,199,229,-0.0008684548270293,-0.0475943034349043,-0.0014217446432353,-30.198312357803204,60.39662471560641,-29.466071885420654,-4.3838035934594135
287,228,290,342,199,230,0.0018529724585353,-0.0533299889512777,-0.0020783457221695,-61.07157261734025,61.07157261734025,-1.3331100223419514,-47.89994465344821
286,228,289,343,197,231,-0.0020625755777454,-0.0482947928216483,-0.0010084598109014,0.0,0.0,60.02147037671183,65.45683256809649
286,228,289,344,196,231,0.001641530243632,-0.0528118732193989,-0.0013432324443725,0.0,-30.67469192233156,121.35897791248269,143.10551284196242
286,227,288,345,195,229,0.0002768220846424,-0.0481541909367064,-0.0012450517459183,-30.390424159867884,30.390424159867884,123.63328303615442,123.51852576482892
284,229,287,349,192,231,-0.000132262732384,-0.0478893462128833,-0.0002141424954871,0.0,0.0,90.01701588586266,101.60233877150694
284,229,288,350,191,231,-0.0018891082348281,-0.0481789881525334,-0.0014341282308063,0.0,0.0,29.493628066776505,28.869711800500475
284,229,286,351,190,231,0.0010711278780954,-0.0538301704249991,-0.0010351398065418,30.79902777879773,61.59805555759545,33.2430327839324,14.669154865179452
283,231,287,356,189,234,0.0040877449963033,-0.053224156191475,-0.0029726721351703,0.0,0.0,120.0831242959911,112.4896965361037
284,236,289,353,185,240,0.0002605732325886,-0.0493413832951549,0.0009438125970501,0.0,30.119593551398587,121.5921495328282,87.14148843096602
284,237,289,356,185,241,-5.7262182130908304e-05,-0.0543782914950462,-0.0002658458577005,-31.479551782886475,0.0,157.26185796730843,159.1442935748065
282,239,287,366,180,243,-0.002214786677729,-0.0483368795197836,0.0027932745525671,-30.305007839425496,30.305007839425496,-31.96623075558953,62.62633221954084
281,240,284,366,176,242,-0.0049183723133832,-0.0490809083880011,-0.0001057476401029,-62.76455271900166,0.0,30.138215959131013,91.67562362013416
279,240,281,367,173,242,0.001286684552237,-0.0523936045774407,0.000819982319954,-29.65094446329603,29.65094446329603,29.64728283573957,61.24738414981679
276,243,277,373,166,244,0.0015929484698567,-0.0530547762465458,-0.0004069178224247,-30.81056621514413,61.62113243028826,92.42566268380769,113.66832441199423
275,245,277,377,165,246,-0.0026680322018991,-0.0496939187894116,0.001998963583298,-30.43519022429272,30.43519022429272,90.84380030648116,93.00135692919622
274,246,275,379,163,246,-0.0011489927558662,-0.0479926934275857,0.0012275057540833,0.0,59.871159295130326,29.879520706238075,7.75892540008106
272,250,271,385,161,249,-0.0005426177384105,-0.0495543933822202,0.0016302913752588,0.0,0.0,-31.016824106360723,24.31595112131517
272,250,271,385,160,249,0.0005275784027808,-0.0501976430470353,-0.000805169815843,30.256039588247607,30.256039588247607,0.0,-42.55245029288492
272,251,268,385,162,247,-0.0010307633381158,-0.0003668828804386,0.0003370724068608,0.0,-30.473666238002917,-30.456303606734096,-66.89644728186956
273,251,269,385,162,248,0.0002087657609775,4.9487814398910304e-05,-7.292509376643664e-05,0.0,0.0,-60.29826211025163,-61.72377006286082
273,251,269,385,163,248,-0.0005965077165059,-0.0001304588906783,0.0005069778353975,-29.709541922551203,-29.709541922551203,-27.686908686889915,-54.42353922950416
272,251,268,385,163,248,0.0001950734530317,6.162286596018098e-05,-0.0001329895140298,30.25167511738447,0.0,-1.579761617417399,26.49841851019708
