xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y
40,136,108,221,99.79984866886763,0.0,59,246,-13,146,-32,37,6,256,73,18,113,236
315,365,119,187,73.12373538328882,0.44600000977516174,288,454,258,347,285,258,231,437,400,293,345,472
40,137,109,219,100.49147701233159,0.0,60,245,-13,147,-33,39,7,256,73,19,114,235
316,367,116,187,72.71850162818335,0.4400000274181366,288,457,261,350,289,260,233,440,400,295,344,474
40,136,108,220,100.39733352243636,0.0,60,245,-13,146,-33,38,7,255,73,18,114,235
314,366,114,194,68.19859051364818,0.44300001859664917,278,456,261,345,298,255,225,435,404,298,331,478
40,136,107,221,100.39733352243636,0.0,60,245,-12,146,-32,38,7,255,73,18,113,236
318,366,118,183,74.14063373339431,0.4440000355243683,293,454,261,350,287,262,236,438,401,295,350,471
39,136,110,220,101.0035408517495,0.0,60,244,-14,147,-34,39,6,255,72,18,114,234
314,368,114,181,71.96571443287013,0.43800002336502075,286,454,260,350,288,264,232,437,397,299,341,472
40,136,107,222,100.90502204523445,0.0,61,245,-12,146,-33,37,8,255,72,17,114,235
316,366,118,179,73.79097507219201,0.44300001859664917,291,452,259,349,285,263,234,435,400,297,348,469
39,136,108,220,100.39733352243636,0.0,59,245,-13,146,-33,38,6,255,73,18,113,235
316,365,115,181,72.75854060106002,0.44600000977516174,289,452,261,348,288,261,234,435,399,296,344,469
40,137,107,222,100.8082309403198,0.0,61,247,-12,147,-33,38,8,257,72,18,114,237
315,367,113,186,70.01689347810002,0.4410000145435333,283,455,262,348,294,260,230,436,400,298,337,474
40,136,108,219,99.97771262015057,0.0,59,244,-13,146,-33,38,6,254,74,18,113,234
317,366,115,189,72.89727103094764,0.44300001859664917,289,457,262,349,290,259,234,440,400,293,344,474
40,136,108,222,101.41098312676539,0.0,62,245,-12,147,-34,39,9,256,71,17,115,235
315,370,118,190,70.4268741695898,0.43300002813339233,283,460,259,350,291,261,227,440,403,301,339,480
40,135,106,220,99.97771262015057,0.0,59,243,-12,145,-32,37,7,253,73,17,112,234
318,363,119,184,73.7150775281166,0.45000001788139343,292,452,260,347,286,259,235,435,401,292,350,469
40,137,106,221,100.39733352243636,0.0,60,246,-12,147,-32,38,8,256,72,18,113,236
315,365,116,184,71.56505117707799,0.44600000977516174,286,452,261,346,291,259,231,434,400,296,341,471
39,136,109,219,101.0035408517495,0.0,60,244,-14,146,-34,39,6,254,73,18,114,234
314,367,115,185,71.95217893122894,0.4410000145435333,285,456,259,349,289,261,230,438,399,298,340,474
40,137,109,222,100.90502204523445,0.0,61,246,-13,147,-33,38,7,256,73,18,115,236
316,366,115,190,70.99401580396322,0.44300001859664917,285,456,261,347,292,258,231,437,401,295,340,475
40,137,109,219,100.49147701233159,0.0,60,245,-13,147,-33,39,7,256,73,19,114,235
315,367,116,186,71.76059915334885,0.4410000145435333,286,455,260,348,290,260,231,437,400,297,341,474
40,137,108,222,100.8082309403198,0.0,61,247,-12,148,-33,38,8,258,72,18,114,237
315,366,117,189,71.56505117707799,0.44300001859664917,285,456,260,348,290,258,230,438,401,295,341,475
39,136,110,219,101.0035408517495,0.0,60,244,-14,147,-34,39,6,255,73,18,114,234
316,367,113,186,70.59402924599883,0.4410000145435333,285,455,262,349,293,261,232,437,400,298,339,474
40,136,108,220,99.8879888155778,2.9030001163482666,59,245,-13,146,-33,38,6,255,74,18,113,235
316,364,117,181,73.96766064606402,0.4480000138282776,291,451,260,347,286,261,235,434,399,294,347,468
40,137,110,221,101.0035408517495,0.0,61,245,-13,147,-34,39,7,256,73,18,115,235
315,365,113,182,71.96571443287013,0.44600000977516174,287,451,261,347,290,261,233,434,398,296,341,469
40,136,108,222,101.41098312676539,0.0,62,245,-12,147,-34,38,9,256,71,17,115,235
315,365,117,183,71.56505117707799,0.44700002670288086,286,452,260,347,289,260,231,434,400,297,342,471
39,136,106,220,101.0035408517495,0.0,60,244,-12,146,-33,39,8,254,71,18,113,234
315,366,115,186,72.53607310815715,0.4440000355243683,287,455,260,348,289,260,232,437,399,295,342,473
39,137,108,222,100.39733352243636,0.0,59,246,-13,147,-33,38,6,256,73,18,113,237
316,366,117,185,71.17528998175993,0.44300001859664917,286,454,260,348,290,260,231,436,401,297,342,473
40,137,108,222,100.90502204523445,0.0,61,246,-12,147,-33,38,8,257,72,17,114,236
317,364,115,175,74.6871816391937,0.4490000307559967,294,448,262,348,285,264,239,433,396,295,350,464
40,136,108,222,101.41098312676539,0.0,62,245,-12,147,-34,39,9,256,71,17,115,235
316,366,117,186,73.12373538328882,0.4440000355243683,289,455,260,349,288,260,233,438,400,295,345,473
40,136,109,219,100.58732131823713,0.0,60,243,-13,146,-33,39,7,254,72,18,114,233
574,425,110,114,21.61477894278625,0.2990000247955322,521,446,554,374,607,353,501,395,648,456,541,498
39,135,106,221,100.90502204523445,0.0,60,244,-12,145,-33,37,8,254,71,17,113,234
316,368,116,188,71.56505117707799,0.43800002336502075,286,458,260,350,290,261,231,440,401,297,342,476
39,136,109,219,101.1038334366361,0.0,60,243,-13,146,-34,39,7,254,72,18,114,233
317,364,112,182,70.76932762433871,0.44700002670288086,287,450,264,345,295,260,234,431,401,297,340,469
40,136,108,219,100.49147701233159,0.0,60,244,-13,146,-33,38,7,254,73,18,114,234
315,367,119,182,71.56505117707799,0.4400000274181366,286,454,258,348,287,262,230,435,400,300,343,473
39,136,111,222,100.90502204523445,0.0,60,245,-14,147,-35,38,6,256,73,17,115,235
315,367,119,181,73.3611943295737,0.4410000145435333,289,454,258,350,285,263,232,437,399,298,346,472
39,136,108,224,100.71312302279104,0.0,60,247,-13,147,-34,37,7,257,72,16,114,237
319,364,114,185,72.53607310815715,0.44700002670288086,291,453,265,347,293,258,237,436,402,293,346,470
40,136,107,221,100.30484646876603,2.9030001163482666,60,246,-13,146,-33,37,7,256,73,18,113,236
317,368,111,187,70.79602649449994,0.43700000643730164,286,457,264,350,295,261,233,439,401,298,339,475
40,136,108,220,101.0035408517495,0.0,61,244,-12,147,-33,39,8,255,72,18,114,234
315,368,114,193,70.06746343806049,0.43800002336502075,282,459,261,349,294,258,228,440,402,297,336,479
40,137,108,222,100.30484646876603,0.0,60,247,-13,148,-34,39,7,257,73,18,114,237
314,368,114,199,68.09129517181809,0.4390000104904175,277,460,261,346,298,254,224,439,404,297,330,482
40,137,110,222,100.90502204523445,0.0,61,246,-13,147,-33,38,7,257,73,18,115,236
316,364,118,192,71.93952806380082,0.44700002670288086,286,456,261,346,292,255,230,437,403,292,342,475
41,136,107,220,100.49147701233159,0.0,61,244,-11,145,-30,37,8,254,74,18,114,235
318,363,115,185,70.59402924599883,0.45000001788139343,287,451,264,344,295,256,233,432,404,295,342,470
40,137,108,222,100.30484646876603,0.0,60,247,-13,147,-33,38,7,257,73,18,114,237
321,359,116,187,70.79602649449994,0.4520000219345093,290,448,266,340,297,252,235,429,407,290,345,467
40,138,108,221,100.39733352243636,0.0,60,247,-12,148,-32,39,7,257,74,19,114,237
319,360,113,186,70.01689347810002,0.45100003480911255,287,448,265,341,297,253,234,429,404,291,341,467
39,135,106,221,100.90502204523445,0.0,60,244,-12,146,-33,38,8,254,71,17,113,234
316,363,115,193,70.06746343806049,0.4490000307559967,283,454,262,343,296,252,229,434,405,293,337,474
40,137,108,222,100.39733352243636,0.0,60,246,-13,147,-33,38,7,256,72,18,114,236
596,423,99,108,105.0684881594922,0.30100002884864807,610,475,548,435,535,383,562,488,630,358,658,463
40,137,107,222,100.90502204523445,0.0,61,246,-12,147,-33,38,8,256,72,18,114,236
319,360,115,187,67.52056560289688,0.45100003480911255,283,447,265,338,301,251,230,425,408,295,337,469
40,136,110,218,101.0035408517495,0.0,61,244,-13,147,-33,39,7,255,74,19,115,234
319,362,113,190,67.19545952867895,0.45000001788139343,282,450,266,340,303,252,230,428,408,296,335,472
40,137,109,222,100.90502204523445,0.0,61,246,-13,148,-34,39,8,257,71,18,115,236
318,363,116,187,70.59402924599883,0.45000001788139343,287,451,263,343,295,255,232,432,405,294,342,471
40,136,108,218,101.0035408517495,0.0,61,244,-12,147,-33,39,8,255,73,19,114,234
594,422,94,105,106.69924423399362,0.3020000159740448,609,472,549,435,534,385,564,486,625,358,655,459
40,137,108,221,100.39733352243636,0.0,60,246,-13,147,-33,38,7,256,74,18,114,236
585,426,114,118,16.606980578617005,0.2970000207424164,528,443,569,371,627,354,512,388,659,464,545,498
40,137,109,219,100.49147701233159,2.931000232696533,60,245,-13,148,-33,40,7,256,73,19,114,235
586,424,111,117,18.741340445192723,0.30000001192092896,530,443,567,371,623,352,512,391,660,458,549,496
40,136,109,218,100.49147701233159,0.0,60,244,-13,146,-33,39,6,254,73,19,114,234
575,430,105,109,20.07152586453873,0.2939999997615814,523,449,556,381,608,362,505,400,645,461,542,499
40,137,109,222,100.90502204523445,0.0,61,246,-13,148,-34,39,8,257,71,18,115,236
578,425,106,110,16.798371781305296,0.2990000247955322,525,441,563,374,617,358,510,390,647,460,541,492
40,137,108,222,100.30484646876603,0.0,60,247,-12,147,-32,37,7,257,73,18,114,237
581,425,99,108,104.79676224505735,0.2990000247955322,595,478,533,438,519,386,547,491,615,360,643,465
40,136,109,219,100.49147701233159,0.0,60,244,-13,147,-34,39,7,255,73,18,114,234
581,427,95,101,105.94539590092286,0.29600000381469727,595,476,535,440,522,391,549,489,614,365,641,463
40,137,107,219,100.49147701233159,0.0,60,245,-12,147,-32,39,7,255,73,19,113,235
315,366,106,194,67.87366519062671,0.4440000355243683,278,457,266,346,303,256,229,437,402,297,328,477
41,137,106,224,100.2139729850705,0.0,61,248,-11,147,-31,37,9,258,73,17,114,238
315,364,105,198,68.62937773065681,0.4480000138282776,279,456,266,344,303,253,230,436,402,292,328,476
39,136,108,218,100.49147701233159,0.0,59,244,-13,146,-33,39,6,254,73,19,113,234
317,362,110,192,68.74949449286675,0.45000001788139343,282,452,266,342,301,252,231,432,405,293,334,472
40,137,109,221,101.0035408517495,0.0,61,245,-12,147,-33,39,8,256,73,18,115,235
317,363,112,190,66.40517943011854,0.45000001788139343,279,450,265,341,303,254,228,428,406,298,331,473
40,137,108,220,101.0035408517495,0.0,61,245,-13,148,-34,40,8,256,72,19,114,235
320,360,110,190,70.4268741695898,0.4520000219345093,288,450,268,341,301,252,236,431,405,290,340,469
40,137,108,220,100.39733352243636,0.0,60,246,-13,147,-33,39,7,256,74,19,114,236
319,360,111,190,71.18811069748085,0.45100003480911255,288,451,266,342,297,252,235,433,403,289,341,469
41,137,109,220,101.0035408517495,0.0,62,245,-12,148,-33,40,9,256,72,19,116,235
318,361,116,187,71.17528998175993,0.45000001788139343,288,449,263,342,294,254,233,430,404,292,343,469
40,137,108,220,100.39733352243636,0.0,60,246,-13,147,-33,39,7,256,74,19,114,236
319,363,114,191,71.75414547242175,0.4490000307559967,289,454,265,345,295,254,235,436,404,290,344,472
40,137,108,220,100.39733352243636,0.0,60,246,-12,147,-32,38,7,256,74,19,114,236
319,362,118,194,71.37842063351242,0.45100003480911255,288,454,263,343,295,252,232,435,407,290,344,474
41,137,109,220,100.39733352243636,0.0,61,246,-12,147,-32,39,7,256,74,19,115,236
318,362,119,186,72.53607310815715,0.45100003480911255,290,451,261,344,289,255,233,433,403,291,347,469
40,136,109,222,100.90502204523445,0.0,61,245,-13,147,-34,39,8,256,72,17,115,235
320,364,115,194,71.37842063351242,0.4490000307559967,289,456,265,346,296,254,235,438,406,291,344,475
41,137,107,223,100.8082309403198,0.0,62,247,-11,147,-32,38,9,257,72,18,115,237
318,363,113,187,72.71850162818335,0.4480000138282776,290,453,264,346,293,257,236,436,401,291,344,470
