xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y,sample_time
483,306,187,238,94.80348575906908,0.6800000071525574,493,425,390,314,380,196,400,433,567,180,587,418,1.6162939071655273
484,306,186,237,94.84400037508068,0.6710000038146973,494,424,391,313,381,195,401,432,567,180,587,417,0.02726125717163086
484,306,186,236,94.84400037508068,0.6810000538825989,494,424,391,314,382,196,401,432,568,181,587,417,0.023877382278442383
484,306,186,236,94.84400037508068,0.6670000553131104,494,424,391,314,381,196,401,432,567,180,587,416,0.03134274482727051
484,306,187,235,94.88520256811731,0.675000011920929,494,423,391,313,382,196,401,431,568,181,588,416,0.031620025634765625
485,305,185,237,94.80348575906908,0.6730000376701355,495,424,392,313,382,195,403,432,568,179,588,416,0.03165841102600098
485,305,185,234,94.39870535499554,0.6840000152587891,494,422,392,312,383,195,402,430,569,181,587,415,0.0343022346496582
485,305,185,235,94.39870535499554,0.6680000424385071,494,422,392,312,383,195,402,430,569,180,587,415,0.03165245056152344
485,305,186,235,94.84400037508068,0.6800000071525574,495,423,392,313,383,195,402,431,568,180,588,415,0.03433799743652344
485,305,185,234,94.39870535499554,0.6700000166893005,494,422,393,312,384,195,402,429,569,181,587,415,0.03429889678955078
485,305,186,235,94.84400037508068,0.6820000410079956,495,423,393,312,384,195,402,430,569,181,588,416,0.03142905235290527
471,295,145,262,90.87467677112132,0.7120000123977661,473,426,399,296,398,165,401,427,542,163,546,425,0.03230690956115723
472,295,145,261,90.43736386752073,0.7090000510215759,473,426,399,296,398,165,401,427,543,164,546,425,0.032785654067993164
472,295,144,262,90.87467677112132,0.7150000333786011,474,426,400,296,399,165,402,427,543,164,546,426,0.03312849998474121
471,295,144,262,90.87467677112132,0.7090000510215759,473,426,399,296,398,166,401,427,543,164,545,426,0.0330502986907959
472,295,143,262,90.43736386752073,0.7110000252723694,473,426,400,296,399,166,402,427,542,164,545,426,0.03245997428894043
472,295,144,261,90.87467677112132,0.7090000510215759,474,426,400,296,399,165,402,427,543,164,546,425,0.03320670127868652
471,295,143,262,90.87467677112132,0.7100000381469727,473,426,400,296,398,165,402,427,542,163,545,425,0.034093618392944336
472,295,143,262,90.43736386752073,0.7100000381469727,473,426,400,296,399,165,402,427,542,164,545,426,0.0320892333984375
472,295,143,261,90.43736386752073,0.7100000381469727,473,426,400,296,399,165,402,427,543,164,545,425,0.03392958641052246
472,295,143,262,90.43736386752073,0.7100000381469727,473,426,400,296,399,165,402,427,542,164,545,426,0.03189373016357422
471,295,143,262,90.87467677112132,0.7070000171661377,473,426,400,296,398,165,402,427,541,164,545,426,0.03408932685852051
