xc,yc,w,h,theta,depth,width_mid_x,width_mid_y,height_mid_x,height_mid_y,x1_x,x1_y,x2_x,x2_y,x3_x,x3_y,x4_x,x4_y,sample_time
467,96,151,201,78.46537934635528,0.7400000095367432,447,194,393,81,414,-17,373,179,563,13,521,210,1.7882585525512695
468,96,152,201,77.9052429229879,0.7290000319480896,447,194,393,81,414,-17,373,179,564,13,522,210,0.032289743423461914
468,96,152,201,78.02386755579664,0.7450000643730164,447,195,394,81,415,-17,373,179,564,14,522,211,0.02887272834777832
468,96,153,201,77.9052429229879,0.7360000610351562,447,194,393,80,414,-17,372,178,564,13,522,210,0.031218290328979492
467,96,152,201,77.9052429229879,0.734000027179718,446,194,393,81,414,-17,372,179,563,13,521,210,0.029801607131958008
468,96,152,201,77.9052429229879,0.734000027179718,447,194,393,81,414,-17,373,179,564,13,522,210,0.028279781341552734
467,96,152,200,77.9052429229879,0.7390000224113464,446,194,393,81,414,-17,372,179,563,14,521,210,0.028123140335083008
467,96,152,200,77.9052429229879,0.7330000400543213,446,194,393,80,415,-17,372,178,563,14,521,210,0.02875971794128418
468,96,152,201,77.9052429229879,0.737000048160553,447,194,393,81,414,-17,373,179,563,13,522,210,0.028014421463012695
468,96,153,201,77.9052429229879,0.7390000224113464,447,194,393,81,414,-17,372,179,564,13,522,210,0.0329129695892334
468,96,152,201,77.9052429229879,0.7500000596046448,447,194,393,81,414,-17,373,179,563,13,522,210,0.0312952995300293
467,96,152,202,78.02386755579664,0.7390000224113464,446,195,393,81,414,-17,372,179,563,13,521,211,0.0336453914642334
468,96,152,201,77.9052429229879,0.7390000224113464,447,194,393,81,414,-17,373,179,563,13,522,210,0.03196263313293457
468,96,152,201,77.9052429229879,0.734000027179718,447,194,393,81,414,-17,373,179,564,13,522,210,0.03396773338317871
468,96,153,200,77.9052429229879,0.7420000433921814,447,194,393,81,414,-17,372,179,564,14,522,210,0.0321040153503418
468,96,152,201,77.9052429229879,0.7360000610351562,447,194,393,81,414,-17,373,179,563,13,522,210,0.03364229202270508
468,96,152,202,77.47119229084849,0.7430000305175781,446,195,393,80,415,-18,372,179,564,13,521,211,0.03248333930969238
