timestamp,frame_number,error_cmd_x1,error_cmd_y1,error_cmd_x2,error_cmd_y2,error_cmd_x3,error_cmd_y3
3.3624918460845947,3,16,-36,14,-103,65,-38
3.362,3,16,-36,14,-103,65,-38
3.4906206130981445,4,16,-36,14,-104,64,-38
3.491,4,16,-36,14,-104,64,-38
3.6075637340545654,5,16,-34,13,-102,64,-36
3.608,5,16,-34,13,-102,64,-36
3.725684642791748,6,15,-32,12,-100,63,-35
3.726,6,15,-32,12,-100,63,-35
3.8449597358703613,7,14,-31,10,-98,62,-34
3.845,7,14,-31,10,-98,62,-34
3.9629452228546143,8,13,-31,9,-97,61,-34
3.963,8,13,-31,9,-97,61,-34
4.079364776611328,9,12,-30,8,-95,59,-33
4.079,9,12,-30,8,-95,59,-33
4.197009563446045,10,12,-28,9,-95,58,-30
4.197,10,12,-28,9,-95,58,-30
4.3149333000183105,11,12,-26,8,-94,58,-28
4.315,11,12,-26,8,-94,58,-28
4.433038949966431,12,10,-25,7,-93,56,-27
4.433,12,10,-25,7,-93,56,-27
4.551394939422607,13,10,-23,8,-90,55,-25
4.551,13,10,-23,8,-90,55,-25
4.669051647186279,14,10,-24,7,-88,57,-26
4.669,14,10,-24,7,-88,57,-26
4.787261486053467,15,9,-20,7,-87,56,-21
4.787,15,9,-20,7,-87,56,-21
4.9038684368133545,16,8,-19,6,-84,54,-21
4.904,16,8,-19,6,-84,54,-21
5.021297216415405,17,8,-18,6,-83,53,-20
5.021,17,8,-18,6,-83,53,-20
5.1414995193481445,18,8,-17,6,-80,52,-19
5.141,18,8,-17,6,-80,52,-19
5.2614099979400635,19,7,-17,5,-78,51,-19
5.261,19,7,-17,5,-78,51,-19
5.37457013130188,20,7,-16,4,-76,52,-18
5.375,20,7,-16,4,-76,52,-18
5.487858772277832,21,7,-14,4,-75,52,-17
5.488,21,7,-14,4,-75,52,-17
5.602928161621094,22,7,-13,4,-73,51,-15
5.603,22,7,-13,4,-73,51,-15
5.716309309005737,23,6,-12,4,-69,50,-14
5.716,23,6,-12,4,-69,50,-14
5.833799839019775,24,6,-12,1,-68,48,-16
5.834,24,6,-12,1,-68,48,-16
5.954702615737915,25,4,-12,0,-66,46,-15
5.955,25,4,-12,0,-66,46,-15
6.077078819274902,26,3,-9,2,-60,44,-10
6.077,26,3,-9,2,-60,44,-10
6.199874401092529,27,3,-7,3,-58,44,-8
6.200,27,3,-7,3,-58,44,-8
6.320777177810669,28,2,-8,2,-62,41,-9
6.321,28,2,-8,2,-62,41,-9
6.442997932434082,29,2,-8,1,-61,40,-8
6.443,29,2,-8,1,-61,40,-8
6.564767360687256,30,0,-9,-1,-59,40,-10
6.565,30,0,-9,-1,-59,40,-10
6.688761949539185,31,0,-9,-1,-58,40,-10
6.689,31,0,-9,-1,-58,40,-10
6.811387538909912,32,1,-4,1,-50,40,-5
6.811,32,1,-4,1,-50,40,-5
6.934105634689331,33,1,-4,1,-50,39,-4
6.934,33,1,-4,1,-50,39,-4
7.056833505630493,34,0,-3,0,-49,38,-4
7.057,34,0,-3,0,-49,38,-4
7.18172550201416,35,-1,-2,-2,-50,34,-3
7.182,35,-1,-2,-2,-50,34,-3
7.306084632873535,36,2,1,-1,-47,41,-2
7.306,36,2,1,-1,-47,41,-2
7.428946495056152,37,1,2,-3,-45,40,-1
7.429,37,1,2,-3,-45,40,-1
7.551734924316406,38,0,3,-4,-43,38,0
7.552,38,0,3,-4,-43,38,0
7.675307989120483,39,-2,3,-4,-43,33,2
7.675,39,-2,3,-4,-43,33,2
7.797154664993286,40,-3,4,-4,-42,31,2
7.797,40,-3,4,-4,-42,31,2
7.920840501785278,41,-4,5,-5,-40,29,4
7.921,41,-4,5,-5,-40,29,4
8.043185710906982,42,-3,5,-5,-39,31,4
8.043,42,-3,5,-5,-39,31,4
8.165769815444946,43,-5,6,-6,-37,29,5
8.166,43,-5,6,-6,-37,29,5
8.289225578308105,44,-4,7,-2,-33,30,7
8.289,44,-4,7,-2,-33,30,7
8.412595510482788,45,-7,8,-7,-31,25,8
